"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"29700","Laredo, TX","7.2","4.3",".",".","0.08","0.066",".",".",".","26","10.1","49","25","."
"29740","Las Cruces, NM","4.7","3","58","10","0.1","0.08","10","3","1","39","12.2","127","40","."
"29820","Las Vegas-Henderson-Paradise, NV","7.5","5.8","64","22","0.1","0.086","14","6","1","29","11.7","380","54","."
"29860","Laurel, MS",".",".",".",".",".",".",".",".",".","35","13.7",".",".","."
"29980","Lawrenceburg, TN",".",".",".",".","0.1","0.081",".",".",".","30","11.5",".",".","."
"30020","Lawton, OK","3","2.1",".",".","0.09","0.076",".",".",".","26","9.3",".",".","."
"30300","Lewiston, ID-WA","4.6","2",".",".",".",".",".",".",".",".",".","96","27","."
"30340","Lewiston-Auburn, ME",".",".",".",".",".",".","34","16","3",".",".",".",".","."
"30420","Lexington, NE",".",".",".",".",".",".",".",".",".",".",".","106","44","."
"30460","Lexington-Fayette, KY","3.5","2.3","54","12","0.1","0.085","32","16","4","42","15.6","74","22","."
"30620","Lima, OH",".",".",".",".","0.11","0.098","24","10","3",".",".",".",".","."
"30700","Lincoln, NE","5.6","3.7",".",".","0.06","0.054",".",".",".","26","10.3",".",".","."
"30780","Little Rock-North Little Rock-Conway, AR","6.1","5.2","62","15","0.1","0.088","11","7","3","33","13.2",".",".","."
